,Hotel Name,Review
0,Prime Shervani Pragati Maidan,"Clasay rooms, courteous staff and interior was soothing and eye catching"
1,Prime Shervani Pragati Maidan,Nice and quaint hotel. Very courteous and helpful staff. Enjoyed my stay!!
2,Prime Shervani Pragati Maidan,It was really an excellent experience with the this place Mr.Raunak Senapati is a very professional cooperative & nice human being he had provided best assistance by many way rooms are classy...i would highly recommend this place Mr.Raunak thank very much specifically to you.
3,Prime Shervani Pragati Maidan,We have stayed this place for about 5 days in the month of February 2019 . Nice location but accommodation facilities were not as expected . Hotel had not proper kitchen facilities so visitors have to wait outside restaurant food. Water quality was not good. However staffs were found cooperative and helpful.
4,Prime Shervani Pragati Maidan,Very good place
5,Prime Shervani Pragati Maidan,Hotel stay was peasant .. Very nice staff and awesome services ..love the food.
6,Prime Shervani Pragati Maidan,It was a nice stay in Shervani.
7,Prime Shervani Pragati Maidan,This hotel is wonderful in the sense that it is really a true home away from home.
8,Prime Shervani Pragati Maidan,It's been an unforgettable stay with amazing personalised service orientation by each staff we interacted.
9,Prime Shervani Pragati Maidan,Nice stay with super breakfast. Facilities and all too good.
10,Prime Shervani Pragati Maidan,"Great value for your money, hotel staff are very good."
11,Prime Shervani Pragati Maidan,"The hotel was a perfect property. Everything was good enough there, whether it is service quality or food, or amenities or cleanliness all things are just perfect.Great experience. Courteous staff, good food, , great ambience."
12,Prime Shervani Pragati Maidan,Its a well maintained hotel. Provided a very comfortable accommodation.
13,Prime Shervani Pragati Maidan,Very good hotel very near by from pragati maidan exhibition centre . Food is really good.
14,Prime Shervani Pragati Maidan,Every thing was fine. Hotel was good trip was nice. Service was very good no complain regarding that.
15,Prime Shervani Pragati Maidan,best place to feel peace and also good hospitality with fine dine.
16,Prime Shervani Pragati Maidan,The Staff is very courteous It was quite a pleasant stay.
17,Prime Shervani Pragati Maidan,"good service, very good food, but not value for money."
18,Prime Shervani Pragati Maidan,"We stayed at this property for couple of nights. The hotel is very simple with clean rooms and necessary amenities. The hotel is located in a peaceful location and the breakfast was very good. The room service was quick and the staff were very helpful. Overall, a fantastic stay at this affordable hotel."
19,Prime Shervani Pragati Maidan,Breakfast spread is pathetic. Bath linen was not clean. Front office was very efficient. Sleep quality was good
20,Prime Shervani Pragati Maidan,I had visited this hotel for personal trip. The parking facility was good. WiFi connection was provided lobby. All amenities were in working condition. The food quality was good. The activity was not conducted at the hotel. There was no suggestion for this hotel. I had booked the room by online. The overall service was good. Transportation facility was nearby the hotel.I had visited this hotel with my family for holiday trip. The garden was available at the hotel. The variety in food was provided in the hotel. The sightseeing was not arranged by the hotel. The destination of the hotel was good. The WiFi facility was not provided in the room.
21,Prime Shervani Pragati Maidan,"In the heart of the national capital of India it's great to be stay in hotel like shervani, its hospitality towards guests is superb! You will be treated like Royals and make you feel the same too. Nice and nice all around. Thanks for such a treat worth of my money I spent Hotel Shervani managing team and staff."
22,Prime Shervani Pragati Maidan,I had visited this hotel alone for official trip. The destination of hotel was good. The hotel location was good because it was near to the city. The appearance of hotel was very nice in the hotel. The booking and front office was also good in this hotel. The overall service was good in the hotel. The room service was very nice in the hotel. The bathroom was not clean in the room but room was neat and clean in the hotel.
23,Prime Shervani Pragati Maidan,"The hotel is very beautiful, the location of the hotel is very attractive and destination of the hotel is very near to the city. Rooms are very good, service of the hotel is very excellent and activities of the hotel can be still developed. Rooms of the hotel are very big and very clean."
24,Prime Shervani Pragati Maidan,Shervani Hotel is the best hotel in Delhi. Its good space for all hotel. Any types of services are excellent. Room services are also good. Parking space is also good. In the front of hotel is excellent.
